# output_voltage.csv run at 2000-01-01 00:00:00 EST on 922 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
R5-12-47-1_node_53,7700.498431,-258.388386,-4023.149162,-6556.189294,-3567.110202,6718.025252
R5-12-47-1_node_54,7700.480544,-258.388044,-4023.139916,-6556.173941,-3567.101481,6718.009247
R5-12-47-1_node_55,7700.462891,-258.389045,-4023.131957,-6556.158127,-3567.091696,6717.994126
R5-12-47-1_node_56,7700.480778,-258.389387,-4023.141202,-6556.173480,-3567.100418,6718.010131
R5-12-47-1_node_57,7717.139215,-256.877656,-4029.174825,-6567.320660,-3573.088542,6731.069559
R5-12-47-1_node_58,7841.453316,-149.681340,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_59,7720.722918,-254.558204,-4028.829775,-6571.181992,-3576.312903,6733.410735
R5-12-47-1_node_60,7743.115301,-240.820815,-4027.431964,-6593.300212,-3594.417431,6747.022381
R5-12-47-1_node_61,7743.685536,-240.477783,-4027.397781,-6593.881286,-3594.893403,6747.362314
R5-12-47-1_node_62,7743.110855,-240.823455,-4027.432022,-6593.295042,-3594.412862,6747.019758
R5-12-47-1_node_63,7727.925371,-250.033058,-4028.378345,-6578.210360,-3582.056886,6737.887581
R5-12-47-1_node_64,7727.809703,-250.020736,-4028.348491,-6578.145556,-3581.972257,6737.805635
R5-12-47-1_node_65,7720.719503,-254.560260,-4028.829845,-6571.178008,-3576.309367,6733.408738
R5-12-47-1_node_66,7720.719442,-254.559928,-4028.829525,-6571.178119,-3576.309628,6733.408517
R5-12-47-1_node_67,7720.699957,-254.563836,-4028.823155,-6571.159304,-3576.296385,6733.393193
R5-12-47-1_node_68,7732.544710,-247.170455,-4028.094098,-6582.664568,-3585.779837,6740.708622
R5-12-47-1_node_69,7743.112722,-240.806284,-4027.418740,-6593.304897,-3594.428402,6747.014104
R5-12-47-1_node_70,7732.538658,-247.176371,-4028.095584,-6582.655385,-3585.769598,6740.705646
R5-12-47-1_node_71,0.000000,0.000000,0.000000,0.000000,-3585.736937,6740.668897
R5-12-47-1_node_72,7732.538498,-247.175479,-4028.094691,-6582.655697,-3585.770380,6740.704978
R5-12-47-1_node_73,7717.875162,-256.337830,-4029.008813,-6568.432790,-3574.093206,6731.634563
R5-12-47-1_node_74,7718.081261,-256.310095,-4029.075024,-6568.582212,-3574.169974,6731.789919
R5-12-47-1_node_75,7710.347458,-257.244172,-4026.483923,-6562.959042,-3571.216453,6725.879485
R5-12-47-1_node_76,7717.873014,-256.327971,-4029.000273,-6568.435730,-3574.100135,6731.629228
R5-12-47-1_node_77,7703.775433,-257.977467,-4024.235908,-6558.465863,-3568.509527,6720.619493
R5-12-47-1_node_78,0.000000,0.000000,-4000.762269,-6733.923877,0.000000,0.000000
R5-12-47-1_node_79,0.000000,0.000000,0.000000,0.000000,-3772.655350,6824.525423
R5-12-47-1_node_80,7870.030199,-111.449546,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_81,7804.621650,-196.567499,-4017.120252,-6655.048024,-3647.454586,6780.970217
R5-12-47-1_node_82,7782.774448,-215.846411,-4024.363942,-6630.194148,-3625.330131,6770.810891
R5-12-47-1_node_83,7782.318563,-216.135778,-4024.407179,-6629.780506,-3624.991520,6770.547962
R5-12-47-1_node_84,7778.005190,-218.873636,-4024.816269,-6625.866811,-3621.787732,6768.060252
R5-12-47-1_node_85,7777.989325,-218.879625,0.000000,0.000000,-3621.781146,6768.045934
R5-12-47-1_node_86,0.000000,0.000000,0.000000,0.000000,-3621.618974,6767.895742
R5-12-47-1_node_87,7777.993703,-218.877209,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_88,7777.993520,-218.876565,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_89,7772.806261,-221.951937,-4025.296949,-6620.525068,-3617.762886,6765.122158
R5-12-47-1_node_90,7768.295273,-224.798962,-4025.645235,-6616.289042,-3614.195909,6762.397924
R5-12-47-1_node_91,7762.194446,-228.783682,-4026.109869,-6611.046314,-3609.525245,6758.629856
R5-12-47-1_node_92,7755.518861,-233.137579,-4026.603542,-6605.247443,-3604.344853,6754.481073
R5-12-47-1_node_93,0.000000,0.000000,0.000000,0.000000,-3614.191775,6762.393583
R5-12-47-1_node_94,0.000000,0.000000,0.000000,0.000000,-3614.020251,6762.233126
R5-12-47-1_node_95,0.000000,0.000000,0.000000,0.000000,-3614.189636,6762.391235
R5-12-47-1_node_96,0.000000,0.000000,-4025.642435,-6616.277917,0.000000,0.000000
R5-12-47-1_node_97,0.000000,0.000000,-4025.641615,-6616.278145,0.000000,0.000000
R5-12-47-1_node_98,0.000000,0.000000,-4025.227760,-6620.243496,0.000000,0.000000
R5-12-47-1_node_99,7762.187229,-228.785944,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_100,7762.187190,-228.785809,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_101,0.000000,0.000000,0.000000,0.000000,-3614.191541,6762.393820
R5-12-47-1_node_102,0.000000,0.000000,-4025.293757,-6620.511217,0.000000,0.000000
R5-12-47-1_node_103,7777.989559,-218.880457,0.000000,0.000000,-3621.780607,6768.046487
R5-12-47-1_node_104,7900.603040,-84.091354,-3996.992833,-6794.327965,-3834.338821,6846.638670
R5-12-47-1_node_105,7909.409649,-73.112454,-3995.409403,-6808.193881,-3853.954481,6852.980449
R5-12-47-1_node_106,0.000000,0.000000,-3995.392186,-6808.127783,0.000000,0.000000
R5-12-47-1_node_107,0.000000,0.000000,-3994.547131,-6804.912288,0.000000,0.000000
R5-12-47-1_node_108,0.000000,0.000000,-3996.990467,-6794.318984,0.000000,0.000000
R5-12-47-1_node_109,0.000000,0.000000,-3997.521285,-6790.490735,0.000000,0.000000
R5-12-47-1_node_110,0.000000,0.000000,0.000000,0.000000,-3834.253368,6846.524339
R5-12-47-1_node_111,7898.041490,-87.166805,-3997.522938,-6790.497004,-3829.121449,6844.904532
R5-12-47-1_node_112,0.000000,0.000000,-4002.351742,-6739.723448,0.000000,0.000000
R5-12-47-1_node_113,7856.235419,-132.213069,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_114,0.000000,0.000000,-3999.775960,-6720.887980,0.000000,0.000000
R5-12-47-1_node_115,0.000000,0.000000,0.000000,0.000000,-3731.028098,6809.181881
R5-12-47-1_node_116,0.000000,0.000000,0.000000,0.000000,-3713.187581,6798.892096
R5-12-47-1_node_117,0.000000,0.000000,0.000000,0.000000,-3713.419415,6799.183326
R5-12-47-1_node_118,0.000000,0.000000,0.000000,0.000000,-3712.254230,6797.476244
R5-12-47-1_node_119,7877.011984,-109.574524,0.000000,0.000000,-3793.058531,6831.867213
R5-12-47-1_node_120,7862.662005,-130.408636,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_121,0.000000,0.000000,-4004.200296,-6731.189450,-3745.490308,6817.625468
R5-12-47-1_node_122,7844.843754,-148.803451,-4006.932010,-6718.571170,0.000000,0.000000
R5-12-47-1_node_123,7839.889595,-153.995372,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_124,0.000000,0.000000,0.000000,0.000000,-3696.613318,6796.509286
R5-12-47-1_node_125,0.000000,0.000000,0.000000,0.000000,-3647.403852,6781.007808
R5-12-47-1_node_126,0.000000,0.000000,0.000000,0.000000,-3646.181658,6779.757167
R5-12-47-1_node_127,7804.740276,-196.432389,-4017.077029,-6655.002783,-3647.420157,6781.024232
R5-12-47-1_node_128,0.000000,0.000000,0.000000,0.000000,-3713.187581,6798.892096
R5-12-47-1_node_129,0.000000,0.000000,0.000000,0.000000,-3712.472922,6797.994337
R5-12-47-1_node_130,7849.900876,-147.914121,-4005.592664,-6718.015143,-3723.205679,6809.005966
R5-12-47-1_node_131,7849.895841,-147.889338,-4005.568785,-6718.022884,-3723.227614,6808.987878
R5-12-47-1_node_132,7843.120110,-155.343014,-4007.193515,-6707.524053,-3710.414567,6804.661563
R5-12-47-1_node_133,7839.199368,-159.580133,-4008.127985,-6700.491355,-3702.143235,6802.144224
R5-12-47-1_node_134,0.000000,0.000000,0.000000,0.000000,-3701.981154,6801.978596
R5-12-47-1_node_135,7845.517314,-152.542430,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_136,7845.686196,-152.499094,-4006.624065,-6712.215186,-3716.087012,6806.379798
R5-12-47-1_node_137,7849.706118,-147.947919,-4005.637897,-6718.025826,0.000000,0.000000
R5-12-47-1_node_138,0.000000,0.000000,0.000000,0.000000,-3735.717394,6813.967916
R5-12-47-1_node_139,0.000000,0.000000,-4004.201501,-6731.189082,-3745.489048,6817.626664
R5-12-47-1_node_140,7862.896405,-130.347766,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_141,0.000000,0.000000,-4003.340903,-6743.373869,0.000000,0.000000
R5-12-47-1_node_142,0.000000,0.000000,0.000000,0.000000,-3775.712367,6827.574292
R5-12-47-1_node_143,7880.023055,-108.907637,0.000000,0.000000,-3792.497349,6832.569888
R5-12-47-1_node_144,7862.839176,-130.394155,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_145,7862.903584,-130.376787,-4004.057207,-6735.577599,-3752.463918,6819.884567
R5-12-47-1_node_146,0.000000,0.000000,-4007.539200,-6687.306185,0.000000,0.000000
R5-12-47-1_node_147,0.000000,0.000000,-4004.208298,-6731.159992,0.000000,0.000000
R5-12-47-1_node_148,0.000000,0.000000,-4003.367096,-6743.469412,0.000000,0.000000
R5-12-47-1_node_149,7868.465715,-122.869676,-4003.383829,-6743.531571,-3765.400670,6824.475100
R5-12-47-1_node_150,0.000000,0.000000,0.000000,0.000000,-3710.404168,6804.650921
R5-12-47-1_node_151,0.000000,0.000000,0.000000,0.000000,-3710.404515,6804.650599
R5-12-47-1_node_152,0.000000,0.000000,0.000000,0.000000,-3715.779790,6801.476411
R5-12-47-1_node_153,0.000000,0.000000,0.000000,0.000000,-3714.889186,6800.558838
R5-12-47-1_node_154,0.000000,0.000000,0.000000,0.000000,-3628.209707,6770.460155
R5-12-47-1_node_155,0.000000,0.000000,-4009.428171,-6694.178504,0.000000,0.000000
R5-12-47-1_node_156,7835.317113,-163.183946,-4009.405933,-6694.266837,-3696.119579,6800.241828
R5-12-47-1_node_157,0.000000,0.000000,-4009.420352,-6694.150611,0.000000,0.000000
R5-12-47-1_node_158,0.000000,0.000000,-4009.419324,-6694.150927,0.000000,0.000000
R5-12-47-1_node_159,0.000000,0.000000,-4008.650336,-6691.340619,0.000000,0.000000
R5-12-47-1_node_160,7856.752716,-139.388092,-4004.357700,-6726.163643,-3735.785059,6814.043233
R5-12-47-1_node_161,0.000000,0.000000,0.000000,0.000000,-3735.714101,6813.970996
R5-12-47-1_node_162,0.000000,0.000000,0.000000,0.000000,-3723.125901,6808.925030
R5-12-47-1_node_163,7860.457589,-133.807128,-4004.242744,-6731.239878,-3745.557861,6817.685942
R5-12-47-1_node_164,7862.931707,-130.338490,-4004.054084,-6735.619950,-3752.532428,6819.908240
R5-12-47-1_node_165,7873.221848,-117.366590,-4002.344967,-6751.659753,-3775.736330,6827.598275
R5-12-47-1_node_166,7880.129527,-108.884185,-4001.121116,-6764.019994,-3792.477231,6832.594229
R5-12-47-1_node_167,7755.521336,-233.140551,0.000000,0.000000,-3604.335225,6754.467786
R5-12-47-1_node_168,7755.521336,-233.140551,0.000000,0.000000,-3604.335707,6754.467392
R5-12-47-1_node_169,0.000000,0.000000,-4009.431558,-6694.177479,0.000000,0.000000
R5-12-47-1_node_170,7782.781858,-215.884618,-4024.397659,-6630.182668,-3625.303012,6770.831697
R5-12-47-1_node_171,7717.629401,-256.582594,-4029.126763,-6567.969574,-3573.646214,6731.436785
R5-12-47-1_node_172,7731.729609,-247.941247,-4028.309135,-6581.455470,-3584.493195,6740.332441
R5-12-47-1_node_173,7927.392073,-51.698450,-3991.692404,-6839.090613,-3894.451562,6865.045823
R5-12-47-1_node_174,0.000000,0.000000,0.000000,0.000000,-3659.132004,6785.750520
R5-12-47-1_node_175,7823.439125,-175.675948,-4012.033395,-6679.005364,-3677.361544,6792.637313
R5-12-47-1_node_176,0.000000,0.000000,-4018.963077,-6647.032934,0.000000,0.000000
R5-12-47-1_node_177,0.000000,0.000000,-4020.454578,-6642.770196,0.000000,0.000000
R5-12-47-1_node_178,0.000000,0.000000,0.000000,0.000000,-3629.046048,6771.326919
R5-12-47-1_node_179,0.000000,0.000000,0.000000,0.000000,-3629.826795,6772.139045
R5-12-47-1_node_180,0.000000,0.000000,0.000000,0.000000,-3631.918526,6774.333273
R5-12-47-1_node_181,7789.823893,-210.095195,-4022.284665,-6637.609654,-3631.461581,6774.120003
R5-12-47-1_node_182,7716.685791,-257.152211,-4029.281039,-6566.596974,-3572.491485,6730.602312
R5-12-47-1_node_183,7697.024498,-258.854787,-4022.054117,-6553.920087,-3565.722663,6715.294359
R5-12-47-1_node_184,7742.996988,-240.804661,-4027.359240,-6593.205472,-3594.372382,6746.909983
R5-12-47-1_node_185,7720.356985,-254.397909,-4028.509171,-6570.943748,-3576.270495,6733.007726
R5-12-47-1_node_186,7700.198775,-258.346174,-4022.964066,-6555.950141,-3566.996926,6717.740092
R5-12-47-1_node_187,7709.573160,-257.494470,-4026.062697,-6561.971826,-3571.051346,6725.163549
R5-12-47-1_node_188,7709.774881,-257.280787,-4026.100014,-6561.916160,-3571.111148,6725.511488
R5-12-47-1_node_189,7710.073551,-257.265822,-4026.314286,-6562.500531,-3571.145027,6725.695911
R5-12-47-1_node_190,0.000000,0.000000,-4025.292735,-6620.511479,0.000000,0.000000
R5-12-47-1_node_191,0.000000,0.000000,-3995.390358,-6808.128307,0.000000,0.000000
R5-12-47-1_node_192,0.000000,0.000000,-3995.066688,-6806.882280,0.000000,0.000000
R5-12-47-1_node_193,0.000000,0.000000,-3994.813839,-6805.922263,0.000000,0.000000
R5-12-47-1_node_194,0.000000,0.000000,-3994.647936,-6805.293415,0.000000,0.000000
R5-12-47-1_node_195,0.000000,0.000000,0.000000,0.000000,-3834.254293,6846.523456
R5-12-47-1_node_196,0.000000,0.000000,-3996.751547,-6794.032050,0.000000,0.000000
R5-12-47-1_node_197,0.000000,0.000000,-3997.294052,-6790.217843,0.000000,0.000000
R5-12-47-1_node_198,7857.351665,-131.893023,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_199,7870.703449,-111.269968,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_200,7872.608182,-110.764567,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_201,7875.121981,-110.084324,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_202,7877.831741,-109.390116,0.000000,0.000000,-3792.909280,6832.064043
R5-12-47-1_node_203,7880.022380,-108.904893,0.000000,0.000000,-3792.497621,6832.569646
R5-12-47-1_node_204,0.000000,0.000000,0.000000,0.000000,-3772.889032,6824.752977
R5-12-47-1_node_205,0.000000,0.000000,0.000000,0.000000,-3773.641878,6825.502081
R5-12-47-1_node_206,0.000000,0.000000,0.000000,0.000000,-3774.730947,6826.594608
R5-12-47-1_node_207,0.000000,0.000000,0.000000,0.000000,-3775.713461,6827.573251
R5-12-47-1_node_208,0.000000,0.000000,-4000.983189,-6734.737805,0.000000,0.000000
R5-12-47-1_node_209,0.000000,0.000000,-4001.475052,-6736.555589,0.000000,0.000000
R5-12-47-1_node_210,0.000000,0.000000,-4002.683107,-6740.971459,0.000000,0.000000
R5-12-47-1_node_211,0.000000,0.000000,-4003.338220,-6743.374670,0.000000,0.000000
R5-12-47-1_node_212,0.000000,0.000000,-4001.531562,-6728.649881,-3741.457532,6814.070683
R5-12-47-1_node_213,0.000000,0.000000,-4002.232954,-6729.618651,-3742.300429,6814.676983
R5-12-47-1_node_214,7862.896261,-130.347158,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_215,0.000000,0.000000,-4003.131554,-6730.438467,-3743.698527,6815.943184
R5-12-47-1_node_216,0.000000,0.000000,-4004.013748,-6730.989737,-3745.228308,6817.409610
R5-12-47-1_node_217,0.000000,0.000000,0.000000,0.000000,-3725.647199,6803.730273
R5-12-47-1_node_218,0.000000,0.000000,0.000000,0.000000,-3728.272619,6806.401344
R5-12-47-1_node_219,0.000000,0.000000,0.000000,0.000000,-3730.188389,6808.347764
R5-12-47-1_node_220,0.000000,0.000000,0.000000,0.000000,-3733.233499,6811.442241
R5-12-47-1_node_221,7842.686410,-149.362272,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_222,7843.897335,-149.048574,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_223,7849.705438,-147.944995,-4005.637886,-6718.025826,0.000000,0.000000
R5-12-47-1_node_224,7841.709934,-153.525258,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_225,7842.341790,-153.361830,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_226,7843.893615,-152.959849,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_227,7845.516642,-152.539520,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_228,0.000000,0.000000,0.000000,0.000000,-3700.125259,6800.078804
R5-12-47-1_node_229,0.000000,0.000000,0.000000,0.000000,-3698.336570,6798.256898
R5-12-47-1_node_230,0.000000,0.000000,0.000000,0.000000,-3697.035400,6796.940186
R5-12-47-1_node_231,0.000000,0.000000,0.000000,0.000000,-3647.404788,6781.006923
R5-12-47-1_node_232,0.000000,0.000000,-4003.365846,-6743.469781,0.000000,0.000000
R5-12-47-1_node_233,7862.838736,-130.392351,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_234,7860.904225,-130.916937,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_235,7858.895091,-131.465790,0.000000,0.000000,0.000000,0.000000
R5-12-47-1_node_236,0.000000,0.000000,-4004.205931,-6731.160690,0.000000,0.000000
R5-12-47-1_node_237,0.000000,0.000000,-4001.882006,-6725.766958,0.000000,0.000000
R5-12-47-1_node_238,0.000000,0.000000,-4002.333518,-6726.812780,0.000000,0.000000
R5-12-47-1_node_239,0.000000,0.000000,-4001.090027,-6723.931786,0.000000,0.000000
R5-12-47-1_node_240,0.000000,0.000000,-4000.179734,-6721.823842,0.000000,0.000000
R5-12-47-1_node_241,0.000000,0.000000,0.000000,0.000000,-3733.987740,6812.202415
R5-12-47-1_node_242,0.000000,0.000000,0.000000,0.000000,-3732.181320,6810.358841
R5-12-47-1_node_243,0.000000,0.000000,0.000000,0.000000,-3723.128537,6808.922556
R5-12-47-1_node_244,0.000000,0.000000,0.000000,0.000000,-3715.028273,6800.738239
R5-12-47-1_node_245,0.000000,0.000000,-4007.893399,-6688.594269,0.000000,0.000000
R5-12-47-1_node_246,0.000000,0.000000,0.000000,0.000000,-3715.392428,6801.075239
R5-12-47-1_node_247,0.000000,0.000000,-4008.254400,-6689.908776,0.000000,0.000000
R5-12-47-1_node_248,0.000000,0.000000,0.000000,0.000000,-3701.983374,6801.976527
R5-12-47-1_node_249,0.000000,0.000000,-4008.648229,-6691.341254,0.000000,0.000000
R5-12-47-1_node_250,7731.644202,-247.920177,-4028.248270,-6581.391914,-3584.468981,6740.246335
R5-12-47-1_node_251,0.000000,0.000000,-4019.392496,-6647.606874,0.000000,0.000000
R5-12-47-1_node_252,0.000000,0.000000,-4020.682601,-6643.066627,0.000000,0.000000
R5-12-47-1_node_253,7823.793507,-175.727518,-4012.254676,-6679.287774,-3677.492954,6792.975699
R5-12-47-1_node_254,7700.462657,-258.387702,-4023.130671,-6556.158588,-3567.092759,6717.993242
R5-12-47-1_node_255,7720.700076,-254.562841,-4028.822347,-6571.159901,-3576.297321,6733.392796
R5-12-47-1_node_256,7743.110625,-240.822160,-4027.430779,-6593.295484,-3594.413885,6747.018903
R5-12-47-1_node_257,0.000000,0.000000,-3997.521008,-6790.490815,0.000000,0.000000
R5-12-47-1_node_258,0.000000,0.000000,-3996.990136,-6794.319080,0.000000,0.000000
R5-12-47-1_node_259,0.000000,0.000000,0.000000,0.000000,-3712.473119,6797.994130
R5-12-47-1_node_260,7731.729455,-247.940380,-4028.308303,-6581.455766,-3584.493880,6740.331868
R5-12-47-1_node_261,7815.884042,-184.345959,-4014.232894,-6669.071123,-3664.790746,6787.972841
R5-12-47-1_node_262,7716.982341,-256.973062,-4029.221461,-6567.050716,-3572.869013,6730.887845
R5-12-47-1_node_263,7748.418489,-237.630625,-4027.114063,-6598.704194,-3598.843967,6750.183758
R5-12-47-1_node_264,7782.778150,-215.865502,-4024.380393,-6630.188540,-3625.316581,6770.821285
R5-12-47-1_node_265,7969.959955,0.026014,-3984.954365,-6902.196220,-3985.004381,6902.156967
R5-12-47-1_node_266,7970.000000,0.000000,-3985.000000,-6902.220000,-3985.000000,6902.220000
R5-12-47-1_meter_1,258.595327,-18.954292,-144.048211,-215.116143,-110.690231,230.567896
R5-12-47-1_meter_2,253.338608,-19.187788,-139.842328,-227.851048,-121.453751,228.973381
R5-12-47-1_meter_3,0.000000,0.000000,0.000000,0.000000,-58.735654,103.390588
R5-12-47-1_meter_4,114.114930,-4.741885,-60.398765,-96.660467,-52.014368,99.964694
R5-12-47-1_meter_5,262.515391,-13.088765,-140.837454,-221.224264,-117.648498,231.025259
R5-12-47-1_meter_6,263.750641,-11.076782,-139.858051,-223.174101,-119.202734,231.571114
R5-12-47-1_meter_7,117.923883,-2.648628,-60.474567,-100.673366,-54.871037,101.757699
R5-12-47-1_meter_8,260.884291,-15.210360,-141.880319,-218.744800,-114.954403,230.651066
R5-12-47-1_meter_9,263.078940,-12.702827,-140.780483,-221.906527,-118.272429,231.326573
R5-12-47-1_meter_10,112.947111,-4.381134,-60.724391,-99.043902,-53.903847,101.489089
R5-12-47-1_meter_11,262.025588,-11.852581,-140.690716,-224.207551,-117.244319,232.772268
R5-12-47-1_meter_12,262.393955,-12.945439,-140.648850,-221.174791,-117.691796,230.858105
R5-12-47-1_meter_13,115.539769,-3.597501,-60.559087,-94.317697,-54.046537,101.599086
R5-12-47-1_meter_14,0.000000,0.000000,0.000000,0.000000,-50.238651,96.963017
